t,Mode,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,StateBlc0,StateBlc1,StateBlc2,StateBlc3,StateBlc4,StateBlc5,StateBlc6,StateBlc7,StateBlc8,StateBlc9,StateBlc10,StateBlc11,StateBlc12,StateBlc13,StateBlc14,StateBlc15,State
837.9000000000001,1,39.25749838087903,20.419028613404482,20.364574082588536,35.22924432908327,21.159828349895758,20.117576168492633,18.916655270118017,21.310664915373614,20.4546553972705,25.778485533850397,21.752004371209292,31.905597167506656,32.60886796401943,20.635712052025813,48.55791884102441,21.202039427291222,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
838.0,1,39.54193383659274,20.417457210256657,20.360658409764735,35.1418558650559,21.153083959917133,20.109902535868013,18.916009370042694,21.305971212448092,20.452142638302615,25.72968699495207,21.752358715555587,31.824074448771018,32.85402313935802,20.645144058644668,48.85018099135305,21.20590101522001,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
838.1,1,39.82771948823299,20.416031559406495,20.356721640672184,35.054920675660206,21.146518658138802,20.10225381707345,18.915360045603638,21.301222478789768,20.449740436480045,25.681228752446547,21.752791422192082,31.74305944624814,33.10022598190087,20.654759076494443,49.14347477358744,21.20984591421714,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
838.2,1,40.11486192699653,20.414751465546285,20.352764198022893,34.968436349319994,21.140132070760703,20.094630167630832,18.914707334490696,21.296419533707226,20.4474488847102,25.633108629647374,21.753302879406036,31.662549049223237,33.347481100756326,20.664557127319306,49.43780397753829,21.213874414438912,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
838.3000000000001,1,40.40336777511988,20.413616738069152,20.348786500787988,34.882400487583304,21.133923829672323,20.08703174070967,18.914051274970763,21.29156318881435,20.44526807639459,25.58532446516494,21.75389347217682,31.58254016686992,33.59579312469013,20.674538235844786,49.73317240663599,21.217986804773645,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
838.4000000000001,1,40.69324368602249,20.412627191048443,20.344788964235693,34.796810705036314,21.12789357242611,20.079458687164333,18.913391905870462,21.286654248108643,20.443198105449735,25.53787411277717,21.75456358223544,31.50302972809665,33.845166702205574,20.684702429783567,50.029583877974495,21.22218337287056,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
838.5,1,40.98449634538193,20.41178264394253,20.340771998998427,34.711664631047285,21.122040943060306,20.07191115443587,18.912729267241456,21.281693505995207,20.441239065775733,25.490755444555873,21.7553135863769,31.424014684993185,34.095606502104985,20.69504973970954,50.327042222632045,21.226464404431344,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
838.6,1,41.27713247063392,20.41108292107215,20.336736011782754,34.626959908413234,21.116365591484367,20.064389287375025,18.912063399870686,21.276681748786952,20.439391051659438,25.443966348483748,21.756143857728937,31.34549201018489,34.34711721323838,20.705580199154863,50.62555128552513,21.230830183749354,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
838.7,1,41.57115881021742,20.41052785090262,20.332681406340548,34.542694191515714,21.110867172636,20.056893229370772,18.911394344607004,21.271619756757485,20.437654158326247,25.397504725196395,21.757054767490796,31.267458693219957,34.59970354411886,20.716293844742346,50.92511492518353,21.235280994447077,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
838.8000000000001,1,41.866582144404504,20.41011726655625,20.32860858279355,34.4588651475788,21.105545347078646,20.0494231215532,18.910722142845437,21.26650830270989,20.436028481555116,25.351368490244877,21.758046683708933,31.189911743060517,34.85337022335817,20.72719071609449,51.22573701399965,21.23981711896328,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
838.9000000000001,0,42.16340928544708,20.409851005794437,20.32451793766774,34.37547045658981,21.100399780978076,20.041979102826524,18.910046836512414,21.261348152047432,20.43451411769744,25.30555557397853,21.75911997133003,31.11284818794254,35.108121999748576,20.738270855838817,51.52742143827326,21.24443883857913,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
839.0,1,42.46164707772346,20.4097289109998,20.320409863927708,34.292507811220034,21.09543014607893,20.03456130990207,18.909368468051024,21.256140062844235,20.433111163695877,25.260063921427797,21.760274992253972,31.036265075235747,35.36396364234482,20.749534309613157,51.83017209825626,21.249146433444317,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
839.1,1,42.761302397886695,20.40975082915826,20.31628475101102,34.20997491674498,21.090636119681232,20.027169877331218,18.90868708040624,21.250884785915943,20.4318197171032,25.214891492186766,21.761512105386878,30.96015947130308,35.620899940547446,20.760981126071044,52.13399290819916,21.253940182603205,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
839.2,1,43.06238215500948,20.409916611841147,20.31214298486257,34.127869490965594,21.086017384617,20.019804937538446,18.908002717010145,21.245583064890468,20.430639876101136,25.170036260296236,21.76283166669408,30.884528461361022,35.87893570418323,20.772611356886962,52.438887796394056,21.258820364020917,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
839.3000000000001,0,43.3648932907325,20.41022611518734,20.30798494796898,34.04618926412848,21.08157362922676,20.012466620854276,18.907315421767212,21.240235636278626,20.429571739519222,25.12549621412629,21.76423402925313,30.809369149339087,36.138075763588574,20.78442505676171,52.744860705221136,21.263787254609497,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
839.4000000000001,1,43.668842779411015,20.41067919988532,20.303811019392928,33.964931978846664,21.0773045473361,20.005155055548265,18.90662523903949,21.234843229544836,20.428615406853634,25.081269356259078,21.765719543306812,30.734678657739703,36.398324969691394,20.796422283427727,53.051915591193435,21.268841130254025,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
839.5,1,43.97423762826148,20.411275731155325,20.299621574807542,33.88409539002027,21.07320983823224,19.997870367862003,18.905932213631882,21.22940656717783,20.42777097828605,25.037353703371664,21.767288556316128,30.66045412749813,36.659688194093,20.808603097654398,53.36005642500154,21.273982265838747,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
839.6,1,44.28108487776092,20.412015578804244,20.29541698644315,33.80367726491583,21.06928920672401,19.990612681937744,18.90523639084159,21.223926364574602,20.427038554654974,24.99374728641135,21.768941412853934,30.586692718161906,36.92217032928438,20.820967563245638,53.66928719163243,21.279210935207715,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
839.7,1,44.5893916041371,20.41289861788844,20.291197622302835,33.72367538457414,21.065542363898707,19.983382118876268,18.9045378170439,21.218403328365866,20.426418237030568,24.950448153216367,21.770678453167907,30.513391610742975,37.185776289967656,20.833515746972168,53.9796118910871,21.284527410578608,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
839.8000000000001,1,44.89916491580951,20.413924727619825,20.28696384749115,33.64408754138046,21.061969025865213,19.97617879831134,18.90383653872811,21.21283815924556,20.4259101274354,24.90745436407098,21.7725000155889,30.44054800284789,37.450511011177646,20.84624771869224,54.29103453736061,21.289931963536752,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
